Release Date,Release Type,Inmate Type,Gender,Race,Age,County,Offense Code,Offense,Offense Description,Sentence Date,Offense Date,Sentence (Years)
02/10/2022,Discharge,J2,F,White,45,Taylor,23990009,Property,"THEFT PROP<$1,500  2/MORE PREV CONVIC",04/03/2008,06/29/2007,15 to 16 Months
10/12/2021,Discharge,J2,M,Hispanic,51,Tarrant,23990194,Property,"THEFT PROP >=$2,500<$30K",04/26/2021,01/11/2021,7 to 8 Months
01/28/2022,Parole,G2,M,Hispanic,50,Nueces,23990009,Property,"THEFT PROP<$1,500  2/MORE PREV CONVIC",05/05/2016,05/20/2015,11 to 15 Years
08/10/2022,SAFPF - Prob,FT,M,Black,45,Dallas,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",,11/15/2018,SAFPF
01/13/2022,Discharge,J2,M,Black,44,Harris,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",09/07/2021,06/24/2020,6 Months & Less
05/03/2022,DMS,G2,F,Black,47,Tarrant,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",09/03/2021,06/02/2021,2 Years & Less
07/20/2022,SAFPF - Prob,FT,M,White,44,Dallas,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",,03/03/2017,SAFPF
09/17/2021,Discharge,J2,M,Hispanic,46,Hidalgo,23990194,Property,"THEFT PROP >=$2,500<$30K",06/28/2021,09/18/2020,11 to 12 Months
04/29/2022,Discharge,J2,F,Black,46,McLennan,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",02/15/2022,05/21/2017,6 to 7 Months
10/08/2021,Discharge,J5,M,Hispanic,44,Harris,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",01/25/2021,02/04/2020,14 to 15 Months
10/15/2021,DMS,G2,M,White,47,Harris,23990175,Property,ORGANIZED RETAIL THEFT >= $100K,03/13/2018,09/01/2013,11 to 15 Years
09/23/2021,DMS,G2,M,Hispanic,44,Hockley,23990208,Property,THEFT PROP >=$2500<$30K ENH IAT,02/19/2020,06/15/2019,3 Years
10/04/2021,Parole,G2,M,White,49,Ellis,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",01/26/2021,05/05/2020,2 Years & Less
11/09/2021,Parole,G2,M,White,51,Smith,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",03/17/2021,09/26/2020,5 Years
07/01/2022,Discharge,J1,F,Black,45,Midland,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",08/26/2021,06/07/2021,14 to 15 Months
03/28/2022,Discharge,J2,M,White,44,Dallas,23990194,Property,"THEFT PROP >=$2,500<$30K",12/30/2021,08/14/2020,6 Months & Less
04/15/2022,Parole,G1,F,Black,50,Nacogdoches,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",12/14/2020,03/15/2020,4 Years
12/09/2021,Parole,G2,M,American Indian/Alaskin,49,Collin,23990010,Property,THEFT PROP >=$20K<$100K,08/01/2008,05/05/2007,11 to 15 Years
11/08/2021,Parole,G2,M,Hispanic,44,McLennan,23990209,Property,THEFT PROP <$2500 2+ CONV ENH IAT,01/13/2020,05/20/2019,4 Years
07/21/2022,Discharge,J2,F,Black,46,Ellis,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",02/02/2022,07/24/2021,11 to 12 Months
07/01/2022,Discharge,RP,M,White,44,Montgomery,23990198,Property,THEFT PROP >=$30K<$150K,12/02/2020,07/01/2020,2 Years & Less
03/31/2022,DMS,G1,M,Black,45,Harris,23990194,Property,"THEFT PROP >=$2,500<$30K",05/02/2019,11/25/2018,4 Years
03/10/2022,DMS,G2,M,Hispanic,44,Dallas,23990194,Property,"THEFT PROP >=$2,500<$30K",01/06/2021,01/09/2020,3 Years
09/01/2021,Discharge,J1,M,White,43,Hays,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",07/07/2020,07/12/2017,11 to 12 Months
11/04/2021,Parole,G1,M,White,48,Tarrant,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",03/27/2020,11/10/2019,4 Years
12/28/2021,SAFPF - Prob,FT,M,White,54,Grayson,23990209,Property,THEFT PROP <$2500 2+ CONV ENH IAT,,04/05/2017,SAFPF
12/03/2021,Discharge,J2,M,Hispanic,44,Harris,23990194,Property,"THEFT PROP >=$2,500<$30K",09/03/2021,05/08/2020,9 to 10 Months
05/11/2022,Discharge,J2,M,Black,44,Harris,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",02/07/2022,06/23/2021,6 Months & Less
09/24/2021,DMS,G2,M,Hispanic,45,Hidalgo,23990198,Property,THEFT PROP >=$30K<$150K,08/19/2019,03/15/2019,4 Years
08/04/2022,Parole,G2,M,White,45,Bexar,23990198,Property,THEFT PROP >=$30K<$150K,06/25/2020,12/11/2019,5 Years
07/01/2022,DMS,G2,M,Black,48,Dallas,23990010,Property,THEFT PROP >=$20K<$100K,04/27/2022,05/30/2014,2 Years & Less
07/22/2022,Discharge,J2,F,Black,45,Wichita,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",01/28/2022,10/08/2020,6 Months & Less
05/13/2022,Discharge,J2,F,Black,46,Tarrant,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",01/27/2022,11/17/2021,6 Months & Less
09/07/2021,DMS,G2,M,White,43,Denton,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",01/06/2021,04/21/2020,2 Years & Less
07/18/2022,Discharge,J2,M,Black,44,Jefferson,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",12/13/2021,08/26/2021,11 to 12 Months
10/11/2021,Discharge,J5,M,White,46,El Paso,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",02/11/2021,04/02/2020,17 to 18 Months
02/11/2022,Discharge,J2,F,White,47,Galveston,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",10/28/2021,08/16/2021,6 Months & Less
10/08/2021,Discharge,J2,M,White,43,Angelina,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",03/04/2021,12/08/2020,11 to 12 Months
12/17/2021,Discharge,J2,M,Hispanic,53,Hidalgo,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",09/22/2021,04/18/2021,8 to 9 Months
08/10/2022,Discharge,G2,M,Black,44,Harris,23990194,Property,"THEFT PROP >=$2,500<$30K",09/09/2019,08/11/2019,3 Years
04/21/2022,DMS,G1,M,White,49,Harris,23990198,Property,THEFT PROP >=$30K<$150K,09/19/2017,07/07/2017,6 Years
05/13/2022,Discharge,J2,F,Black,59,Denton,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",12/03/2021,04/26/2020,6 to 7 Months
